FriedFood,Corbohydrate,SweetFood,Sugar,Salt,Fish ,Fruit,Vegetable,Coffee,Soft-Drink,Water,CoconutMilk,Cardio
0,0,2,7,10,10,0,3,10,0,0,10,10
1,0,2,0,2,2,2,3,2,4,5,5,5
5,0,8,1,0,10,2,5,0,0,5,2,0
5,0,2,1,0,5,2,5,5,2,0,5,0
1,2,2,1,0,5,2,3,2,0,0,0,0
1,2,2,0,0,5,2,5,2,0,5,2,0
5,0,2,4,0,2,10,3,0,0,5,2,0
1,0,0,1,2,5,2,5,2,0,0,0,0
1,0,2,1,0,5,10,5,0,4,5,0,0
0,0,2,1,0,5,2,5,2,0,10,0,0
1,2,0,1,0,2,10,5,0,0,0,5,0
10,4,2,1,0,10,10,5,0,0,0,0,0
1,0,8,0,0,5,2,5,0,0,5,0,0
0,0,2,1,0,10,2,5,2,0,0,2,0
0,0,2,0,0,2,2,3,0,4,0,0,5
5,0,0,0,0,5,2,3,0,0,5,2,0
1,2,2,1,0,0,2,3,2,4,5,5,5
1,0,0,0,0,5,10,10,0,2,5,2,0
1,0,8,0,2,0,2,3,0,0,5,2,0
0,0,0,1,0,5,10,5,0,0,5,2,0
1,4,2,0,0,5,2,0,2,2,5,0,5
0,0,0,0,0,5,2,5,0,0,0,2,10
0,2,2,1,0,10,10,5,0,0,0,5,5
0,0,0,1,0,10,10,10,0,0,0,0,0
5,0,2,4,0,5,10,10,2,0,5,0,0
0,0,2,1,0,5,2,5,2,2,0,0,0
1,4,8,4,2,0,2,3,2,2,5,5,10
0,0,2,1,0,5,2,5,0,2,5,2,0
0,2,2,0,0,10,2,5,0,0,5,2,10
0,2,2,1,0,10,10,5,2,0,5,2,0
1,0,0,1,0,10,2,5,0,0,5,0,0
5,2,2,1,2,2,2,3,2,0,10,2,0
0,0,0,0,0,2,0,3,0,0,5,2,0
10,0,2,1,0,5,2,5,2,0,0,0,0
1,2,8,0,0,10,2,3,0,0,0,5,10
10,2,2,1,2,2,2,3,2,2,5,5,0
10,2,2,0,2,2,2,3,0,0,0,5,0
0,0,0,1,0,10,10,3,0,2,5,0,0
1,2,0,0,2,2,0,3,0,0,5,2,0
1,0,2,1,0,5,2,5,0,0,0,2,0
10,0,2,1,2,2,2,3,0,0,5,5,0
0,2,2,1,0,5,0,5,0,0,5,2,5
0,0,0,1,2,10,0,0,0,0,10,2,0
5,0,2,1,0,5,0,3,2,2,5,5,10
1,2,2,0,0,5,2,3,0,0,0,2,10
0,2,0,1,0,10,2,5,0,0,5,0,0
1,2,0,0,0,0,0,5,0,0,0,0,0
10,0,0,0,0,5,2,3,2,2,5,2,0
1,0,2,1,0,10,10,5,2,0,10,0,0
5,0,8,1,0,5,0,0,2,2,0,0,0
5,2,2,1,0,5,0,3,0,0,5,2,0
5,0,8,1,0,5,0,0,2,2,0,0,0
1,0,0,1,2,2,2,3,2,0,0,0,0
5,0,2,1,0,5,2,5,5,2,0,5,0
0,0,2,1,0,5,2,5,0,0,0,2,0
10,4,0,0,2,0,0,5,5,2,0,2,0
5,0,8,1,0,5,10,5,0,0,10,2,0
10,0,8,1,0,2,2,10,0,0,0,10,0
5,4,2,0,0,10,10,5,0,0,5,2,0
0,2,2,1,0,10,2,3,0,0,0,2,0
10,4,8,4,2,0,10,5,0,2,10,5,0
0,0,2,0,0,5,10,5,2,0,0,0,0
0,0,2,0,0,5,2,5,2,0,5,0,10
0,0,2,0,0,5,2,3,0,0,5,2,5
1,0,2,0,0,2,2,3,0,0,0,10,10
5,0,2,1,0,2,0,3,0,2,5,2,5
10,2,8,1,0,0,10,5,0,0,5,0,0
10,0,2,1,0,2,10,3,0,0,0,2,0
0,0,0,0,0,10,2,5,5,2,5,0,10
1,0,2,0,2,10,2,0,5,0,5,0,10
0,2,2,1,2,5,2,3,10,4,0,5,10
1,0,2,1,2,5,10,3,5,4,0,5,5
0,0,2,1,0,5,10,5,2,0,0,0,0
5,2,2,0,0,10,2,5,0,0,5,0,0
10,2,2,1,0,10,2,5,0,0,5,0,0
0,0,8,1,0,10,0,3,0,0,5,0,0
0,2,2,1,2,10,0,3,0,0,0,2,0
0,2,0,1,8,10,2,3,0,2,10,10,0
0,0,2,1,0,5,2,3,2,0,0,2,0
0,0,8,1,0,10,0,5,0,0,5,10,0
0,2,2,1,0,10,2,5,0,0,5,0,0
5,2,8,0,0,2,2,5,0,0,5,2,0
1,4,0,0,0,5,0,5,0,0,0,2,5
5,2,0,0,0,10,2,5,0,0,0,0,0
5,2,2,1,0,5,2,5,0,0,0,2,0
5,2,2,1,0,5,2,0,0,0,5,5,0
5,4,8,1,0,5,2,5,0,0,10,2,0
0,2,2,0,0,10,2,5,2,0,10,2,5
1,0,8,0,8,0,2,10,5,4,10,10,10
5,0,2,0,0,2,2,3,2,0,10,5,10
1,0,0,0,0,2,2,0,0,2,10,2,10
1,4,2,1,10,0,0,3,10,8,0,10,5
0,0,2,0,0,5,2,5,2,0,5,2,10
1,2,2,1,0,0,2,5,10,0,10,2,5
1,0,0,0,0,5,2,5,2,0,5,2,10
0,4,0,0,2,0,0,0,10,8,0,10,0
10,2,0,0,0,10,2,5,5,4,5,0,0
0,0,0,1,0,0,10,3,0,2,10,10,10
1,0,2,0,0,5,2,5,2,4,0,2,10
5,0,0,0,0,10,10,5,2,0,5,2,10
1,0,0,1,8,10,0,10,2,4,10,10,10
10,2,2,1,0,5,0,0,10,0,5,5,0
0,2,0,0,0,5,0,3,2,0,10,2,0
1,2,2,1,8,0,0,5,2,2,10,2,5
1,0,2,0,2,5,2,0,0,0,0,5,10
10,4,8,1,8,0,2,3,5,0,5,5,0
0,0,0,0,0,10,10,5,2,0,5,2,10
1,2,2,1,8,10,2,3,10,8,5,2,5
1,2,2,1,8,2,0,3,10,8,0,10,10
1,0,2,0,0,5,0,5,0,0,0,5,5
5,2,2,4,2,5,2,3,0,0,5,2,0
0,0,2,1,0,5,0,3,0,4,10,2,5
1,2,0,0,2,5,0,3,0,0,0,2,5
0,4,0,0,8,0,0,0,2,0,0,5,0
5,0,2,1,0,5,2,3,2,2,5,2,10
1,2,2,0,2,5,2,3,2,2,0,2,10
1,2,2,0,2,5,2,3,2,2,0,2,5
1,2,2,0,2,5,2,3,0,2,5,2,5
1,4,0,0,2,10,2,3,0,2,0,2,5
1,0,2,1,2,5,2,3,0,4,0,2,10
1,0,2,0,2,5,0,0,0,2,0,2,5
5,4,0,0,0,0,0,3,0,0,5,2,0
1,0,2,1,2,5,2,3,0,2,5,2,5
1,4,2,1,2,5,2,3,2,2,0,5,5
0,2,2,0,2,5,2,0,0,2,5,2,5
1,0,0,0,2,2,0,5,0,2,0,5,5
1,4,2,0,2,10,0,3,5,4,0,5,10
